NP,Nombre del Programa,Nombre del Punto,Estado,Municipio,Colonia,Dirección,latitud,longitud,Materiales
242,Eco-Reto,Primaria Formal Emiliano Zapata T.M.,Oaxaca,San Gabriel Mixtepec,Santa Maria Mixtepec,Francisco Villa Col. Santa Maria Mixtepec C.P 71970,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
243,Eco-Reto,J.N. Niños Héroes T.M.,Oaxaca,Villa de Tututepec de Melchor Ocampo,San Jose Manialtepec,Benito Juarez Col. San Jose Manialtepec C.P 71830,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
244,Eco-Reto,Primaria Gral. Ignacio Zaragoza T.M.,Oaxaca,Villa de Tututepec de Melchor Ocampo,El Cacalote,Carretera Costera Col. El Cacalote C.P 71830,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
245,Eco-Reto,Telesecundaria 78 T.M.,Oaxaca,Villa de Tututepec de Melchor Ocampo,El Cacalote,Av 5 de mayo Col.  El Cacalote C.P 71830,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
246,Eco-Reto,Primaria Rural Niño Artillero T.M.,Oaxaca,Villa de Tututepec de Melchor Ocampo,San Isidro Llano,Manuel Galindo Col. San Isidro Llano,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
247,Eco-Reto,Primaria Miguel Hidalgo T.M.,Oaxaca,Villa de Tututepec de Melchor Ocampo,Hidalgo,Av Independencia Col. Hidalgo C.P 71830,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
248,Eco-Reto,Primaria Don Miguel Hidalgo y Costilla T.M,Oaxaca,Villa de Tututepec de Melchor Ocampo,Aguazarca,16 de septiembre Col. Aguazarca C.P 71836,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
249,Eco-Reto,Primaria Alfonso Toledo Brito T.M.,Oaxaca,Villa de Tututepec de Melchor Ocampo,Vicente Guerrero,Graciano Benitez Col. Vicente Guerrero C.P 71830,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
250,Eco-Reto,Primaria Prof. Lizandro Calderón T.M,Oaxaca,Villa de Tututepec de Melchor Ocampo,Las Flores,Av Oaxaca Col. Las Flores C.P 71830,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
251,Eco-Reto,Primaria Benito Juarez T.V,Oaxaca,Villa de Tututepec de Melchor Ocampo,Las Flores,Av Oaxaca Col. Las Flores C.P 71830 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
252,Eco-Reto,Primaria Hermanos Flores Magon T.M,Oaxaca,Santos Reyes Nopala,Cañada Los Matus,Carretera a San Gabriel s/n Col. Cañada Los Matus C.P 71960 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
253,Eco-Reto,Preparatoria Ricardo Flores Magón T.M.,Oaxaca,Santos Reyes Nopala,Jacarandas,Kinduli s/n Col. Jacarandas C.P 71960,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
254,Eco-Reto,Primaria Benito Juarez T.M.,Oaxaca,Santos Reyes Nopala,Barrio de Jesus,Av Ignacio Zaragoza 28 Col. Barrio de Jesus C.P 71960,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
255,Eco-Reto,Secundaria General Jose Vasconcelos T.M,Oaxaca,Santos Reyes Nopala,La Toma,Av Hidalgo s/n Col. La Toma C.P 71960,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
256,Eco-Reto,Primaria Rural Emiliano Zapata T.M ,Oaxaca,Villa de Tututepec de Melchor Ocampo,El Venado,Domicilio Conocido s/n  Col. El Venado C.P 71830 ,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
257,Eco-Reto,Secundaria Tecnica 39 T.M.,Oaxaca,Santos Reyes Nopala,Barrio de San Antonio,Ignacio Zaragoza s/n  Col. Barrio de San Antonio C.P 71960,,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
258,Eco-Reto,Escuela Secundaria General No. 229 Frida Khalo T.M.,Oaxaca,Santa María Colotepec, El Tomatal,"Carretera Costera km 159, El Tomatal, C.p. 70934",,,"PET, PEAD, PEBD, BOPP, ALUMINIO, HOJALATA"
259,Otros puntos de acopio,Reciclaje Patricia,Oaxaca,Ánimas Trujano,Centro,"Carretera a Puerto Escondido S/N, Col. Centro
Animas Trujano, Oax.",17.030333,-96.712222,"PET, PEAD, PP, Metales no ferrosos, Hojalata, Papel, Cartón, Archivo Muerto, Botellas de vidrio"
260,Otros puntos de acopio,Se compran metales,Oaxaca,Asunsión Nochixtlán,La Joya,"Pino S / N, La Joya
Asunción Nochixtlán, Oax.",17.453184,-97.226216,"Metales no ferrosos, Hojalata"
261,Otros puntos de acopio,Punto Verde,Oaxaca,Heroica Ciudad de Huajuapan de León,Tepeyac,"C. 2 de Abril LB, Tepeyac, CP. 69006
Huajuapam de León, Oax.",17.813894,-97.787766,Pet
262,Otros puntos de acopio,Metales Bernal,Oaxaca,Heroica Ciudad de Juchitán de Zaragoza,Tonatati,"Libramiento juchitan la ventosa Tonatati, CP. 70000
Juchitán de Zaragoza, Oax.",16.45724652349711,-95.01432795584583,"Metales no ferrosos, Hojalata"
263,Otros puntos de acopio,Clean Plastic S.A. de C.V.,Oaxaca,Oaxaca de Juárez,Barrio de Jalatlaco,"Curtidurías 106, Barrio de Jalatlaco CP. 68080
Oaxaca de Juárez, Oax",17.065776,-96.716276,"Papel, Cartón, Archivo (En donación)"
264,Otros puntos de acopio,Recicladora de Oaxaca,Oaxaca,Oaxaca de Juárez,San Sebastian Etla,"Carretera Internacional Km. 125, San Sebastián Etla, CP. 68258
Oaxaca de Juárez, Oax.",17.173114936588558,-96.79105646897136,"Pet, Pead, Cartón y Papel"
265,Otros puntos de acopio,Se compra fierro,Oaxaca,Oaxaca de Juárez,Universidad,"Reforma Agraria 225A, Universidad, Agencia de Policia de Cinco Señores, CP. 68120
Oaxaca de Juárez, Oax.",17.051522,-96.706435,"Metales no ferrosos, hojalata"
266,Otros puntos de acopio,Reciclados Montoya,Oaxaca,Oaxaca de Juárez,La Joya,"Av. Montoya 319, La Joya, CP 68140
Oaxaca de Juárez, Oax.",17.067011,-96.752758,"PET, PEAD, Metales no ferrosos, Hojalata, Papel, Cartón y Archivo Muerto"
