NP,Nombre del Programa,Nombre del Punto,Estado,Municipio,Colonia,Dirección,latitud,longitud,Materiales
314,Mi tiendita sin residuos ,Abarrotes Griselda ,Oaxaca,Santa María Colotepec,Barra de Navidad,Calle Colotepec Col. Barra de Navidad CP71980 Santa María Colotepecen el arco de la entrada de colotepec,15.82523566,-97.01956093,PET
315,Mi tiendita sin residuos ,Minisuper El Paso ,Oaxaca,Santa María Colotepec,Santa María Colotepec,Carretera Costera Col. El Palmar Tomatal CP 70934 Santa María Colotepec  frente a entrada colonia san juanito,15.78931124,-96.91820025,PET
316,Mi tiendita sin residuos ,Cumar algo más que ahorrar ,Oaxaca,Santa María Colotepec,Santa María Colotepec,Avenida Independencia Col. Santa María Colotepec CP 7980 Santa María Colotepec frente a entrada colonia san juanito,15.89760625,-96.94147775,PET
317,Mi tiendita sin residuos ,Mini superaragón,Oaxaca,Santa María Colotepec,Santa Elena Tonameca,Conocido sin número Col. Santa Elena Tonameca CP 70946 junto a puente peatonal,15.75611345,-96.82102312,PET
318,Mi tiendita sin residuos ,Abts el Crucero ,Oaxaca,Santa María Colotepec,Sector Juárez,Carrereta Costera Col. Sector Juárez CP 71980 Santa María Colotepec Cerca de chedraui,15.86184516,-97.06748664,PET
319,Mi tiendita sin residuos ,Misc Alfec ,Oaxaca,San Pedro Mixtepec,Libertad,Del Carmen Col. Libertad  CP 71980 San Pedro Mixtepec -Distrito 22 a 2 cuadras despues del jardin de niños de la colonia,15.87086925,-97.05760759,PET
320,Mi tiendita sin residuos ,Abats Eva Luz,Oaxaca,San Gabriel Mixtepec,Barrio de la Cruz ,20 de Noviembre Col. Barrio de la Cruz CP 71970 San Gabriel Mixtepec a 2 cuadras de la carretera que va a oaxaca,16.09553,-97.082598333333,PET
321,Mi tiendita sin residuos ,7+1 mini super,Oaxaca,Santa María Colotepec,Brisas de Zicatela,Carr. Costera Local #3. Col. Brisas de Zicatela CP 70934,15.84204465,-97.04360962,PET
322,Mi tiendita sin residuos ,Vero ,Oaxaca,San Pedro Mixtepec,Santa Cruz,Calle Oaxaca Col Santa Cruz CP 71990 San Pedro Mixtepec dt 22 antes de glorieta principal despues de abts Nay,15.982732,-97.07793653,PET
323,Mi tiendita sin residuos ,Farmacia del centro,Oaxaca,San Pedro Mixtepec,Centro,Vicente Guerrero Col. Centro cp 71990 San Pedro Mixtepec dto 22 frente agencia municipal,15.98229365,-97.08391652,PET
324,Mi tiendita sin residuos ,Abarrotes del sur ,Oaxaca,Santos Reyes Nopala,Barrio de Jesús,Hidalgo 16 Col. Barrio de Jesús CP 7196 Santo Reyes Nopala  a un ocstado de la agencia,16.104961666667,-97.144566666667,PET
325,Mi tiendita sin residuos ,Abts San Juan de los Lagos ,Oaxaca,San Pedro Mixtepec,Bajos de Chila,Calle aV 16 Sept Sn Col. Bajos de Chila junto abts juanita entrada de la poblacion,15.916603333333,-97.121111666667,PET
326,Mi tiendita sin residuos ,abarrotes Ari,Oaxaca,Santa María Tonameca,San Francisco Cozoa,Avenida Reforma Col. San Francisco Cozoa CP 70944  entrada cozoaltepec parada de taxis,15.81454333,-96.72558833,PET
327,Mi tiendita sin residuos ,abarrotes y vinos rockaway ,Oaxaca,Santa María Colotepec,Brisas de Zicatela,AVENIDA AV ALEJANDRO CARDENAS Col. Brisas de Zicatela CP 70934 junto a six de playa punta zicatela,15.8337609,-97.04476969,PET
328,Mi tiendita sin residuos ,Abarrotes los mangales,Oaxaca,San Pedro Mixtepec,Benito Juárez ,Avenida Ignacio Zaragoza Col. Benito Juárez CP 71980 San Pedro Mixtepec junto a tienda superprecio,15.87638117,-97.07121432,PET
329,Mi tiendita sin residuos ,Abarrotes Rubi,Oaxaca,San Pedro Mixtepec,Aeropuerto ,Carretera a Oaxaca 101 Col. N Aeropuerto CP 71985 -San Pedro Mixtepec,15.88137723,-97.07939662,PET
330,Mi tiendita sin residuos ,Abts y papeleria Yami-Gael,Oaxaca,San Pedro Mixtepec,Benito Juárez,Avenida Cuauhtémoc Col. Benito Juárez CP71980 San Pedro Mixtepec  cerca de la terminal de segunda a un ocstado de la carretera,15.87448923,-97.07468761,PET
331,Mi tiendita sin residuos ,abarrotes Luisito,Oaxaca,San Pedro Mixtepec,Puerto Escondido ,calle 8 norte  Col. Puerto Escondido centro CP 71980 frente a mercado municipal de puerto escondido,15.869526666667,-97.073723333333,PET
332,Mi tiendita sin residuos ,Abarrotes dona santa,Oaxaca,San Pedro Mixtepec,Aeropuerto ,Carretera a Oaxaca Col. Aeropuerto CP 71980 San Pero Mixtepec frente a tienda super precios antes de la gasolinera,15.88440411,-97.07918108,PET
333,Mi tiendita sin residuos ,Abarrotes Yadi ,Oaxaca,San Pedro Mixtepec,Sector Reforma,calle 8A norte Col. Sector Reforma D CP 71980 a un costado de muebleria Junior,15.870735,-97.069288333333,PET
334,Mi tiendita sin residuos ,Depocito alegria,Oaxaca,San Pedro Mixtepec,Lázaro Cárdenas,carretera costera junto a hotel DC Lázaro Cárdenas CP 70839 despues del mercado zicatela,15.84971325,-97.04989135,PET
335,Mi tiendita sin residuos ,Abts Anita,Oaxaca,San Pedro Mixtepec,Marinero,Camino a Malucano Col. Marinero CP 71980 delante de la agencia,15.86182452,-97.05454767,PET
336,Mi tiendita sin residuos ,Autoservicio el fortin ,Oaxaca,San Pedro Mixtepec,Sector Reforma,calle poniente sin número Col. N928 Sector Reforma CP71984 a un costado de la carretera costera cerca de telmex,15.86209885,-97.06911046,PET
337,Mi tiendita sin residuos ,Abts. Martínez,Oaxaca,San Pedro Mixtepec,San Andrés Copala ,principal Col. San Andrés Copala CP 71990 cerca de abts copala y cerca d ela agencia,15.99986,-97.14423,PET
338,Mi tiendita sin residuos ,Abarrotes Junior´s,Oaxaca,San Pedro Mixtepec,Centro ,Cale dos norte # 203 Col. Centro CP 71980 junto a gasolinera,15.86369185,-97.07169941,PET
339,Mi tiendita sin residuos ,La tiendita de Raciel,Oaxaca,San Pedro Mixtepec,Fraccionamiento las Palmas ,Cocoteros 138  Col. Fraccionamiento las Palmas CP 71980 ,15.87004448,-97.08430409,PET
340,Mi tiendita sin residuos ,Misc la pasadita,Oaxaca,San Pedro Mixtepec,San Miguel,Ignacio Zaragoza Col. San Miguel CP 71980 junto a campo de futbol,15.88487363,-97.06591487,PET
341,Mi tiendita sin residuos ,Abarrotes Diana,Oaxaca,San Pedro Mixtepec,Bajos de Chila,calle morelos Col. Bajos de Chila CP 70839 frente a preparatoria,15.91931969,-97.12433726,PET
342,Mi tiendita sin residuos ,Abarrotes Puerto Angelito,Oaxaca,San Pedro Mixtepec,Sector Hidalgo ,4A PONIENTE Col. Sector Hidalgo CP 71980 a un costado del parque central y del  la iglesia del pueblo,15.862438333333,-97.072663333333,PET
343,Mi tiendita sin residuos ,San Juditas ,Oaxaca,San Pedro Mixtepec,Agua Marina ,calle agua marina  Col. Agua Marina CP 71980 a un costado de deposito Isamar,15.87065377,-97.07777892,PET
344,Mi tiendita sin residuos ,Vinateria el Pelicano ,Oaxaca,San Pedro Mixtepec,Sector Libertad ,Avenida Alfonso Pérez Gasaga   519 Col. Sector Libertad CP 71980,15.860591666667,-97.065291666667,PET
345,Mi tiendita sin residuos ,Refresquería Esther ,Oaxaca,Salina Cruz,Mazatan,"Carretera Costera sin número Col. Mazatan CP 7060 a la salida morro mazatán , frente al sitio de psajeros ",-95.383029,16.09990805,PET
346,Mi tiendita sin residuos ,Lupita,Oaxaca,Salina Cruz,Morro de Mazatan,"Calle Carretera Costera sin número  Col. Morro Mazatán CP 70760 , a la salida Morro Mazatán junto al sitio de pasajeros",-95.38249554,16.09968784,PET
347,Mi tiendita sin residuos ,Miscelanea Garcia,Oaxaca,Santa María Colotepec,Lomas del Puerto ,Calle en las Cruces Col. Lomas el Puerto CP 70934 junto a cancha,15.86508055,-97.05680609,PET
348,Mi tiendita sin residuos ,Abarrotes Franco,Oaxaca,San Pedro Mixtepec,Puente San José ,carretera a Oaxaca  Puente San José Col. Puente San José CP 71980 junto al puente llamado san jose esta en una curva,15.91963581,-97.0824641,PET
349,Mi tiendita sin residuos ,Velmar,Oaxaca,Santa María Huatulco,otra,Calle blvd Santa Cruz Col. Otra CO 70989 Santa María Huatulco ,15.7540568,-96.13095582,PET
350,Mi tiendita sin residuos ,Esperanza,Oaxaca,Santa María Huatulco,Santa Cruz Sector A ,Calle Mitla Col. Santa Cruz Sector A CP 70989 Santa María Huatulco ,15.75491947,-96.13213945,PET
351,Mi tiendita sin residuos ,Super Solaris ,Oaxaca,Santa María Huatulco,Tangoluda,Blvd. Benito Juárez Col. Tangoluda CP 70989 Bahía de Tangoluda ,15.77481063,-96.09630167,PET
352,Mi tiendita sin residuos ,Restaurante Bar el Huayacan ,Oaxaca,Santa María Huatulco,Sector ,Monte Albán Playa Santa Cruz sin número Col. Sector CP 70989 Santa María Huatulco,15.75310929,-96.13209261,PET
353,Mi tiendita sin residuos ,3 hermanos,Oaxaca,Santa María Huatulco,Copalita ,Calle La Agencia Col. Copalita CP 70989 San Miguel del Puerto frente al parque de la agencia municipal cerca rio copalita,15.81850603,-96.0629899,PET
354,Mi tiendita sin residuos ,Miscelánea Flor,Oaxaca,Santa María Huatulco,Laguna Chacahua ,Laguna Chacahua manzana 5 lote 13  MX 5 sector U Col. Laguna Chacahua Mxa 5 Sector U CP 70989,15.77868607,-96.14019776,PET
355,Mi tiendita sin residuos ,Mini Super Palmar,Oaxaca,Santa María Tonameca,Centro ,Calle Centro 1 Col. Calle Centro CP 70949  cerca capilla san Isidro junto modelorama San Isidro ,15.72074302,-96.60986017,PET
356,Mi tiendita sin residuos ,Mini Abarrotes El Ranchito,Oaxaca,Santa María Tonameca,Macahuite , Carretara Pto Escondido Col  Macahuite CP 70946 Santa María Tonameca,15.73055937,-96.68464059,PET
357,Mi tiendita sin residuos ,Miscelanea super Aragón ,Oaxaca,Santa María Huatulco,Macahuite ,Carrertera Federal a Pto Escodido Col Macahuite CP 70946 Santa María Huatulco ,15.73064105,-96.68459519,PET
358,Mi tiendita sin residuos ,Abarrotes Xandan,Oaxaca,Santa María Huatulco,Bahía de conejo ,Calle bahía conejo manzana 1 lote 5  col. Calle Bahía Conejo CP 70987 junto a comerciales junto taller colorado ,15.77281374,-96.14194943,PET
359,Mi tiendita sin residuos ,Miscelanea la chinita ,Oaxaca,Santa María Tonameca,Llano Grande Tonameca,"Llano Grande Crucero Tonameca Col. Llano Grande Tonameca CP 70900 Santa María Tonameca, junto al puente peatonal de tonameca carretera federal 200 ",15.7297906,-96.53841636,PET
360,Mi tiendita sin residuos ,Abts Jimal ,Oaxaca,San Pedro Pochutla,San José Chacalapa,"La Principal Col. San José Chacalapa CP 70904 San Pedro Pochutla  cerca del parque central de Chacalapa , cerca del mercado de Chacalapa",15.829695,-96.464723333333,PET
361,Mi tiendita sin residuos ,Abts Adir,Oaxaca,San Pedro Pochutla,,Avenida Lázaro Cárdenas junto a barrotes roga casi enfrente bancomer,15.748538333333,-96.467265,PET
362,Mi tiendita sin residuos ,Abts Doña Eva,Oaxaca,Santa María Huatulco,,Laguna Tamiahua manzana 2 sector y junto al canal pluvial ,15.78016158,-96.13965317,PET
363,Mi tiendita sin residuos ,Abts Cony,Oaxaca,San Pedro Pochutla,,"Calle Joverio CALLE   JOVERITO, ATRÁS DEL HOSPITAL MATERNO INFANTIL POCHUTLA",15.74089134,-96.46634015,PET
364,Mi tiendita sin residuos ,Minisuper La Palapa ,Oaxaca,Santa María Huatulco,Sector ,Sector H Col Sector h3 CP7097 Santa María Huatulco,15.76657327,-96.14954208,PET
365,Mi tiendita sin residuos ,Hernandezz,Oaxaca,Santa María Huatulco,Sector,Calle bugambilia Col. Sector CP 70987 ,15.76747132,-96.13902301,PET
366,Mi tiendita sin residuos ,Abts Fuente de Vida,Oaxaca,Santa María Huatulco,,Bahía San Agustín MX 16 Lote,15.77446472,-96.13942087,PET
367,Mi tiendita sin residuos ,Romza,Oaxaca,Santa María Huatulco,,"Avenida Benito Juárez SN  Camino a paso ancho, antes de la iglesia crisitiana paso ancho ",15.84260337,-96.31663604,PET
368,Mi tiendita sin residuos ,Abarrotes Jeyco,Oaxaca,Santa María Huatulco,Tachal Blanco ,Calle Las Plamas Col. Tachal Blanco CP 70980 Santa María Huatulco cerca de abarrotes techal,15.82881563,-96.31234114,PET
369,Mi tiendita sin residuos ,Miscelanea Yuli 2,Oaxaca,Santa María Huatulco,Centro ,Calle Av. Benito Juárez Col. Centro CP 70980 Santa María Huatulco antes de la cebtis de Santa María Huatulco,15.8277,-96.32107166,PET
370,Mi tiendita sin residuos ,Abarrotes La esquina ,Oaxaca,Santa María Huatulco,Centro ,Benito Juárez 301 Col. Centro CP 70890 Santa María Huatulco  cerca del oxxo de Santa María cerca del neto Santa María ,15.83314408,-96.32074157,PET
371,Mi tiendita sin residuos ,Miscelanea Manuela ,Oaxaca,Santa María Huatulco,Piedra de Moro ,Carretera San Miguel del Puerto Col. Piedra de Moro CP 709890 Santa María Huatulco  al lado de la cancha de basquet ball frente a la capilla de piedra de moros,15.79898969,-96.23071007,PET
372,Mi tiendita sin residuos ,Mini Super José ,Oaxaca,San Pedro Pochutla,San José Chacalapa,Josefa Ortiz de Domínguez Col. San José Chacalapa CP 70900  cerca de la cancha de basquet ball frente a la capilla de piedra de moros,15.829943333333,-96.464823333333,PET
373,Mi tiendita sin residuos ,Abarrotes EL chinito ,Oaxaca,San Pedro Pochutla,Lomas del Carmen,Calle Lázaro Cárdenas 1 Col. Lomas del Carmen CP 70900 San Pedro Pochutla cerca del oxxo loma cruz cerca de la gasolinera loma cruz,15.756141666667,-96.464583333333,PET
374,Mi tiendita sin residuos ,Miscelánea Domy,Oaxaca,Santa María Tonameca,,Camino al Río San Isidro del Palmar ,15.7265552,-96.60614171,PET
375,Mi tiendita sin residuos ,Comercial el Angel,Oaxaca,San Pedro Pochutla,Centro,Calle José Vasconcelos col. Centro CP 70902 Puerto Ángel San Pedro Pochuta,15.66586037,-96.49043083,PET
376,Mi tiendita sin residuos ,Miscelanea Flory,Oaxaca,San Pedro Pochutla,El Panteón,Del Panteón 248  col. El Panteón CP 70902 Puerto Ángel San Pedro Pochutla  cerca de restaurant Cordelia,15.66468759,-96.49628073,PET
377,Mi tiendita sin residuos ,Abarrotes Lety,Oaxaca,San Pedro Pochutla,Zipolite ,Principal Col. Zipolite CP 70902 San Pedro Pochutla antes de piña palmera,15.66460909,-96.51539683,PET
378,Mi tiendita sin residuos ,Misc Pily,Oaxaca,Santa María Tonameca,San Agustinillo ,Avenida Principal Col San aGustinillo CP 70902 Santa María Tonameca junto agencia municipal de mazunte,15.66602692,-96.542483,PET
379,Mi tiendita sin residuos ,Modulo ventanilla,Oaxaca,Santa María Tonameca,Ventanilla,Avenida Principal Col. Ventanilla CP 70902 Santa María Tonameca,15.66904,-96.57566166,PET
380,Mi tiendita sin residuos ,Abarrotes frutas y verduras,Oaxaca,San Pedro Pochutla,Laguna Seca,Calle Laguna seca Col. Laguna seca CP 70900 San Pedro Pochutla entronque con colonia de los maestros,15.73741205,-96.46611452,PET
381,Mi tiendita sin residuos ,Abarrotes Edgar,Oaxaca,San Pedro Pochutla,Emiliano Zapata,Calzada Alto de Juárez Col. Emiliano Zapata CP 70900 San Pedro Pochutla,15.73631111,-96.46813631,PET
382,Mi tiendita sin residuos ,Sirenita,Oaxaca,San Pedro Pochutla,Sección cuarta,Calle Hidalgo Col. Sección cuarta CP 70900 San Pedro Pochutla calle progreso y calle trujano cerca de la cava ex discoteque,15.74458854,-96.46477268,PET
383,Mi tiendita sin residuos ,Ultramarinos del Manantial,Oaxaca,Santa María Huatulco,Centro,"Av. Gardenias 402 Col Centro CENTRO, SANTA CRUZ HUATULCO",15.76373958,-96.13869131,PET
384,Mi tiendita sin residuos ,Misc Las Flores,Oaxaca,San Pedro Pochutla,,Avenida Constitución  1 IV SECCION cp70900 SAN PEDRO POCHUTLA,15.7433482,-96.46563844,PET
385,Mi tiendita sin residuos ,La Ceiba II,Oaxaca,Santa María Huatulco,," CALLE GARDENIA, ANTES DE LA YAHAMA HUATULCO",15.7669799,-96.13959384,PET
386,Mi tiendita sin residuos ,Misc las joyas,Oaxaca,Santa María Huatulco,La Crucecita,Laguna grande 1 B manzana 30 . Laguna grande mza 23 lote 14lote 14 Col. La crucecita bahías CP 70900 Santa María Huatulco frente a la caseta de vigilancia u2,15.77597006,-96.1393304,PET
387,Mi tiendita sin residuos ,Caseta San Judas ,Oaxaca,Santa María Huatulco,,"carretera federal Costera Huautulco Salina Cruz, entrada Principal a Copalita",15.82013208,-96.06307059,PET
388,Mi tiendita sin residuos ,Los comerciales,Oaxaca,Santa María Huatulco,Sector,"Blv Bahías manzana 1 lote 2 Col Sector CP 70900 Santa María Huatulco junto a paquetería 3 guerras, junto a taller el colorado  ",15.77301984,-96.14209131,PET
389,Mi tiendita sin residuos ,Mini super el gordo,Oaxaca,Santa María Huatulco,La Crucecita,Laguna Chacahua Mxa 11 Sector Col La Crucecita Bahías CP 70900 Santa María Huatulco ,15.78010939,-96.14068867,PET
390,Mi tiendita sin residuos ,abarrotes Juquilita,Oaxaca,Santa Cruz Xoxocotlán,Reforma Agraria,Felipe Carrillo Puerto Col. Reforma Agraria CP 68130 Xocotlán,17.04390247,-96.7230054,PET
391,Mi tiendita sin residuos ,Francisca López Poblano,Oaxaca,Oaxaca de Juárez,Arenal,Linderos Col. El Arenal CP 68120 ,17.04361009,-96.7098082,PET
392,Mi tiendita sin residuos ,Miscelánea Nayeli ,Oaxaca,Oaxaca de Juárez,Arenal,Calle Linderos Col.  El Arenal CP 68126,17.043991318,-96.7114154,PET
393,Mi tiendita sin residuos ,Yolanda Martínez ,Oaxaca,Oaxaca de Juárez,Unión,"Calle Libertad Col. Unión CP 68030 Oax, Oax",17.068465067,-96.7392009,PET
394,Mi tiendita sin residuos ,Miscelánea Rocío ,Oaxaca,Oaxaca de Juárez,Vicente Suárez,Segunda de Vicente Suárez Col. Vicente Suárez ,17.071492743,-96.7419811,PET
395,Mi tiendita sin residuos ,Tendajón La Fortaleza ,Oaxaca,Oaxaca de Juárez,Centro,Constitucion Col. Oaxaca Centro CP 68000,17.065341666667,-96.721713333333,PET
396,Mi tiendita sin residuos ,Mary Sol,Oaxaca,Oaxaca de Juárez,Centro,Calle Independencia Col. Centro CP 68000,17.061903333333,-96.724281666667,PET
397,Mi tiendita sin residuos ,Minisuper Fany ,Oaxaca,Oaxaca de Juárez,Centro,Calle Porfirio Díaz 707 A Centro CP 6800,,,PET
398,Mi tiendita sin residuos ,Mini súper OK Llano,Oaxaca,Oaxaca de Juárez,Oaxaca,Calle Humbolt Col. Oaxaca CP 68000,17.067935,-96.72032,PET
399,Mi tiendita sin residuos ,Teresa de Jesús,Oaxaca,Oaxaca de Juárez,Centro,Bustamante esquina con rayón 113 Col. Centro ,17.057216346,-96.7265923,PET
400,Mi tiendita sin residuos ,Miscelánea Rayón y González,Oaxaca,Oaxaca de Juárez,Centro,Rayon Col. Centro CP 68000,17.056797503,-96.718878,PET
401,Mi tiendita sin residuos ,Miscelánea Don Pilo,Oaxaca,Oaxaca de Juárez,Infonavit F Magón ,Av Central Mz 71 Col.  Infonavit F Magon CP 68020,17.083936431,-96.6969937,PET
402,Mi tiendita sin residuos ,Miscelánea Miguelito,Oaxaca,Oaxaca de Juárez,Centro ,Porfirio Diaz Col. Centro CP 68000,17.071187401,-96.7247484,PET
403,Mi tiendita sin residuos ,Miscelánea Farol de Natalia ,Oaxaca,Oaxaca de Juárez,Centro,Gurrion Col. Centro CP 68000,17.0653696,-96.7234772,PET
404,Mi tiendita sin residuos ,La cieneguita 2 ,Oaxaca,Oaxaca de Juárez,La cieniguita,calle la cienega 11 Col. La cieniguita CP 68127 ,,,PET
405,Mi tiendita sin residuos ,Miscelánea Yautepec,Oaxaca,Oaxaca de Juárez,Lomas de Crestón ,Calle C Arcoíris Col. Lomas de Crestón CP 68050 Oaxaca ,17.087375017,-96.7208355,PET
406,Mi tiendita sin residuos ,Miscelánea Rocío ,Oaxaca,Oaxaca de Juárez,Fraccionamiento Lomas del Crestón ,Rocío 308 Col. Fraccionamiento Lomas del Crestón ,17.086310883,-96.7204231,PET
407,Mi tiendita sin residuos ,Dulcería el Andador,Oaxaca,Oaxaca de Juárez,Centro ,Macedonio Alcala Col. Centro CP 68000,17.066109364,-96.7238512,PET
408,Mi tiendita sin residuos ,Los Reyes,Oaxaca,Oaxaca de Juárez,Centro ,Calle Morelos Col. Centro CP 6800 Oax ,17.061240876,-96.7159678,PET
409,Mi tiendita sin residuos ,Chiqui Súper,Oaxaca,Oaxaca de Juárez,Centro,Garcia Virgil Col. Centro CP 68000 Oax,17.067708341,-96.7244788,PET
410,Mi tiendita sin residuos ,Miscelánea Doña Ofe,Oaxaca,Oaxaca de Juárez,Ocotlán de Morelos,Calle Benito Juarez 111 Col. Ocotlan De Morelos ,16.789918333333,-96.675916666667,PET
411,Mi tiendita sin residuos ,Mariscal ,Oaxaca,Oaxaca de Juárez,Libertad,Cuauhtémoc Col. Libertad CP 68090 Oax ,17.062224105,-96.73481,PET
412,Mi tiendita sin residuos ,Miscelánea Memito ,Oaxaca,Ocotlán de Morelos,Centro ,Carretera  Angel  Km 32.50 Col. Centro ,16.78383,-96.67034,PET
413,Mi tiendita sin residuos ,Miscelánea Lupita ,Oaxaca,Ocotlán de Morelos,Centro ,Independencia Col. El Centro ,16.78598,-96.681101666667,PET
414,Mi tiendita sin residuos ,Cremería Juquilita 2,Oaxaca,Ocotlán de Morelos,San Antonino Castillo Velasco,Gregorio Gomez Col.San Antonino Castillo Velasco,16.790976666667,-96.673818333333,PET
415,Mi tiendita sin residuos ,Abarrotes CESMA ,Oaxaca,San Antonino Castillo Velasco,San Antonino Castillo Velasco,Calle  Aldama Col. San Antonino Castillo Velasco,16.8044875,-96.68438,PET
416,Mi tiendita sin residuos ,Depósito Tavo,Oaxaca,Miahuatlán de Porfirio Díaz, San Juan Chilateca ,Carretera Puerto Angel Col. San Juan Chilateca ,17.089651666667,-96.746436666667,PET
417,Mi tiendita sin residuos ,Miscelánea Dani ,Oaxaca,Oaxaca de Juárez,Animas Trujano,Carretera a Puerto Ángel sin número Col. Animas Trujano CP 71244 ,16.56925019,-96.7310763,PET
418,Mi tiendita sin residuos ,Miscelánea Yael ,Oaxaca,San Agustín de las Juntas,San Agustín de las Juntas ,Reforma Col. San Agustín de las Juntas CP71238 ,17.0139528,-96.7127148,PET
419,Mi tiendita sin residuos ,Miriam,Oaxaca,San Agustín de las Juntas,San Agustín De Las Juntas ,Jalle Río Colorada Col. San Agustín De Las Juntas ,16.993756526,-96.7111259,PET
420,Mi tiendita sin residuos ,Olguita ,Oaxaca,Oaxaca de Juárez,Centro ,Calle Río Progreso 25A  Col. Centro ,16.990659342,-96.7122037,PET
421,Mi tiendita sin residuos ,Mis Miriam,Oaxaca,San Antonio de la Cal ,Santa María,Calle Unión Col. Santa María CP 71254 ,,,PET
422,Mi tiendita sin residuos ,Gómez,Oaxaca,San Bartolo Coyotepec,San Bartolo Coyotepec ,Calle Río Hidalgo Col. San Bartolo Coyotepec ,,,PET
423,Mi tiendita sin residuos ,Mini Super Esquina ,Oaxaca,Santa Cruz Xoxocotlán,Ocotlán,Calle Benito Juárez Col. Ocotlán CP 71510 ,17.00651,-96.747306666667,PET
424,Mi tiendita sin residuos ,Lumico,Oaxaca,San Antonio de la Cal ,Villa De Zaachila ,Zalle Río Leobaa Col. Villa De Zaachila ,16.950939198,-96.7540279,PET
425,Mi tiendita sin residuos ,Felix,Oaxaca,San Raymundo Jalpan,San Raymundo Jalpan ,Jalle Río Calles Col. San Raymundo Jalpan ,16.970325375,-96.7605105,PET
426,Mi tiendita sin residuos ,Vero ,Oaxaca,Santa Cruz Xoxocotlán,San Juan Bautista,Ralle Río Juarez Col. San Juan Bautista La Raya ,16.978034966,-96.7276187,PET
427,Mi tiendita sin residuos ,Abarrotes Reyes ,Oaxaca,San Juan Chilateca,San Juan Chilateca,Calle Cuauhtémoc 4 Col. San Juan Chilateca entre avenida del Carmén y calle agricultores CP 71508 ,,,PET
428,Mi tiendita sin residuos ,Miscelánea la Chiquita ,Oaxaca,Villa de Zaachila,Lomas de la Cuesta,Carretera Ocotlán 1236 Col. Lomas de la Cuesta CP 71317 ,,,PET
