NP,,Nombre,Estado,municipio,Colonia,Dirección,latitud,longitud
291,ISE,Grupo CIMA de Oaxaca S.A de C.V,Oaxaca,Santa Maria Coyotepec,,"5 de Mayo 1, CP. 71954
Santa María Coyotepec, Oax.",16.96684878680762,-96.71050094040557
292,ISE,Ambioental Reciclados y Soluciones Ambientales S.A. de C.V.,Oaxaca,Santa Maria Huatulco,Bahias de Huatulco,"Artesanos Manzana 005 Lote 019 Sector V. la Crucecita, Bahias de Huatulco
Santa María Huatulco, Oax.",,
293,ISE,Ambioental Reciclados y Soluciones Ambientales S.A. de C.V.,Oaxaca,Santa Maria Huatulco,Bahias de Huatulco,"Calle El Faisan, Col. El Faisan, Bahias de Huatulco
Santa María Huatulco, Oax.",,
294,ISE,El Planeta,Oaxaca,Santa Maria Huatulco,Bahias de Huatulco,"Calle Ebanista 119, Sector V zona de Talleres, Bahias de Huatulco
Santa María Huatulco, Oax.",,
295,ISE,El Chorris,Oaxaca,Santiago Pinotepa Nacional,,"Carretera Pinotepa-Puerto Escondido km 2
Santiago Pinotepa Nacional, Oax.",16.328917905030583,-98.02629268545502
296,ISE,Juan Sosa,Oaxaca,Tlacolula,Totolapam,"San José de Gracia, San Pedro Totolapan
Tlacolula, Oax.",,
297,ISE,Recicladora Santa Maria,Oaxaca,Tlacolula de Matamoros,San Juan Teitipac ,"Entre calle Galeana y Salinas, San Juan Teitipac
Tlacolula de Matamoros, Oax.",16.927777995650764,-96.60158476204882
298,ISE,Comercializadora de Chatarra,Oaxaca,Villa de Zaachila,Villa de Zaachila,"Principal s/n, 24 de Julio, CP. 71250
Villa de Zaachila, Oax.",16.926811712556663,-96.6925755373988
299,Aurora,Depto. Reg. Abastecimiento de Hidrocarburos C.F.E.,Oaxaca,Salina Cruz,Barrio Espinal,"Tuxpan 23, Colonia Barrio Espinal, Salina Cruz, C.P. 70760, Oaxaca",,
300,Aurora,Centro de Salud San Cristóbal Jalapa del Marqués,Oaxaca,Santa María Jalapa del Marqués,San Cristobal,"Av. Principal s/n, San Cristobal, Sta. María Jalapa del Márques, C.P. 70710, Oaxaca",,
